user_id,age,income
1,59,204849
2,49,244312
3,35,300595
4,28,273196
5,41,266183
6,59,230703
7,39,244092
8,43,313726
9,31,89043
10,31,249088
11,44,273039
12,56,312686
13,44,169196
14,23,164967
15,42,296716
16,22,97643
17,44,356575
18,50,268127
19,58,374697
20,22,163034
21,41,215091
22,53,80000
23,32,186344
24,42,235292
25,45,92983
26,47,218429
27,48,91012
28,36,229403
29,35,341768
30,23,247201
31,57,382656
32,27,312903
33,41,357851
34,29,188804
35,59,186868
36,38,277649
37,24,123783
38,45,287691
39,34,224086
40,29,356399
41,46,304360
42,22,337736
43,40,189663
44,48,333856
45,27,365576
46,28,246902
47,55,190851
48,34,192257
49,37,349121
50,56,464747
51,24,171468
52,22,165318
53,26,323713
54,24,189686
55,49,331468
56,38,287227
57,46,248081
58,54,285301
59,30,280415
60,56,235631
61,34,109491
62,51,264292
63,35,375844
64,28,121298
65,34,172737
66,43,284146
67,41,253087
68,36,282894
69,38,194054
70,44,342996
71,46,253752
72,45,305758
73,49,275622
74,35,264039
75,21,300146
76,45,264919
77,27,154784
78,29,336988
79,44,315450
80,21,81451
81,28,197663
82,44,333388
83,31,103845
84,37,325485
85,28,238702
86,55,357222
87,55,249908
88,53,192234
89,25,274646
90,59,247569
91,48,185131
92,27,427467
93,29,172312
94,28,80000
95,32,376535
96,54,203314
97,53,226258
98,43,221367
99,44,204427
100,57,188704
101,55,170254
102,42,255180
103,47,217840
104,55,308428
105,21,288615
106,55,175799
107,57,258681
108,34,216572
109,23,170667
110,21,305154
111,25,240293
112,46,217395
113,34,181554
114,59,167765
115,47,409101
116,29,276729
117,35,162709
118,35,273029
119,46,334961
120,33,263401
121,52,359921
122,59,126574
123,52,90694
124,24,270841
125,50,272119
126,57,80000
127,43,200113
128,59,169307
129,35,138644
130,49,169116
131,56,297663
132,33,168607
133,52,171350
134,27,120495
135,42,351512
136,48,284770
137,22,80000
138,26,171420
139,48,292281
140,48,352511
141,40,317267
142,50,221545
143,31,95489
144,48,319619
145,45,226248
146,59,255508
147,53,235806
148,21,141557
149,47,279140
150,33,268116
151,23,215936
152,59,287688
153,26,140080
154,28,228479
155,47,252090
156,29,111205
157,57,245432
158,53,308691
159,44,225741
160,35,247270
161,52,294987
162,52,218975
163,44,226176
164,32,155863
165,59,248805
166,22,223212
167,23,289927
168,57,295076
169,37,313296
170,22,209339
171,22,80000
172,48,309331
173,43,284489
174,57,199176
175,52,294395
176,53,134112
177,21,332419
178,39,223310
179,22,183685
180,46,200263
181,52,231481
182,26,249039
183,52,253862
184,24,215631
185,31,266019
186,37,250662
187,58,198194
188,44,186144
189,25,298669
190,54,291946
191,26,254570
192,42,323935
193,31,93093
194,36,204848
195,53,157494
196,29,430501
197,26,307057
198,36,243675
199,49,312799
200,23,339302
201,40,338450
202,56,323736
203,39,228996
204,46,209890
205,23,173024
206,39,290195
207,40,237285
208,52,216522
209,27,212347
210,53,366015
211,59,326214
212,38,396431
213,21,292321
214,31,254556
215,48,247967
216,45,168375
217,43,149086
218,51,290587
219,50,175225
220,55,266916
221,27,339237
222,36,196763
223,46,410838
224,22,170744
225,21,329215
226,32,283980
227,25,345527
228,57,160704
229,52,434561
230,29,235697
231,55,304131
232,39,365558
233,36,201627
234,23,316058
235,40,188282
236,44,361756
237,53,189185
238,44,253080
239,31,274489
240,28,312743
241,56,407478
242,58,213842
243,40,341098
244,55,407620
245,45,263258
246,55,205989
247,45,111597
248,49,400662
249,38,230444
250,38,169891
251,22,141333
252,55,169742
253,36,323576
254,56,334629
255,53,302169
256,24,260587
257,53,150358
258,34,191604
259,41,161470
260,40,295825
261,28,164935
262,27,192860
263,23,235321
264,37,116415
265,53,253741
266,32,241427
267,42,344736
268,42,184410
269,50,146064
270,58,220075
271,58,162152
272,28,253132
273,47,101205
274,47,201572
275,54,175730
276,41,295420
277,50,185154
278,53,111112
